Metadata for Doing Business indicators,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Topic,Indicator,Long definition,Index,usb_index,pillar,sub_pillar,sub_sub_pillar,indicator,sub_indicator,unit_2,,,,,,,,,,,,,,,
Starting a business,Score-Procedures - Women (number),"The score for the number of procedures for women benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Starting a business,,,Score-Procedures - Women (number),,Score,,,,,,,,,,,,,,,
Starting a business,Time - Women (days),"The time for women captures the median duration that business incorporation experts indicate is necessary for five female married entrepreneurs to complete all procedures required to start and operate a business with minimum follow-up and no extra payments. It is calulared in calendar days. The time estimates of all procedures are added to calculate the total time required to start and operate a business, taking into account simultaneity of processes. It is assumed that the minimum time required for each procedure is one day, except for procedures that can be fully completed online, for which the time required is recorded as half a day.",Ease of Doing Business ,,Starting a business,,,Time - Women (days),,Score,,,,,,,,,,,,,,,
Starting a business,Score-Time - Women (days),"The score for the time for women benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Starting a business,,,Score-Time - Women (days),,Score,,,,,,,,,,,,,,,
Starting a business,Cost - Women (% of income per capita),"The cost for women is the total cost required for five female married entrepreneurs to complete the procedures to incorporate and operate a business. It is calculated as a percentage of income per capita. All the fees and costs associated with completing the procedures to start a business are recorded, including all official fees and fees for legal and professional services, if such services are required by law or commonly used in practice. Only incorporation costs are counted, which excludes value added taxes and bribes.",Ease of Doing Business ,,Starting a business,,,Cost - Women (% of income per capita),,Score,,,,,,,,,,,,,,,
Starting a business,Score-Cost - Women (% of income per capita),"The score for the cost for women benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Starting a business,,,Score-Cost - Women (% of income per capita),,Score,,,,,,,,,,,,,,,
Starting a business,Paid-in Minimum capital (% of income per capita),"The paid-in minimum capital requirement reﬂects the amount that the entrepreneur needs to deposit in a bank or with a third-party before registration or up to three months after incorporation. It is calculated as percentage of income per capita. Any legal limitation of the company’s operations or decisions related to the payment of the minimum capital requirement is recorded. In case the legal minimum capital is provided per share, it is assumed 5 shareholders own the company and the legal minimum capital is multiplied by 5 shares. If an economy requires a minimum capital but allows businesses to pay only a part of it before registration, only this part is recorded.",Ease of Doing Business ,,Starting a business,,,Paid-in Minimum capital (% of income per capita),,Score,,,,,,,,,,,,,,,
Starting a business,Score-Paid-in Minimum capital (% of income per capita),"The score for the paid-in minimum capital requirement benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Starting a business,,,Score-Paid-in Minimum capital (% of income per capita),,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Rank-Dealing with construction permits,The ranking of economies on the ease of dealing with construction permits is determined by sorting their scores for dealing with construction permits. ,Ease of Doing Business ,,Dealing with construction permits,,,,,Rank,,,,,,,,,,,,,,,
Dealing with construction permits,Score-Dealing with construction permits (DB16-20 methodology),"The score for dealing with construction permits is the simple average of the scores for each of the component indicators: the procedures, time, cost to deal with construction permits, as well as the building quality control index that evaluate the quality of building regulations, the strength of quality control and safety mechanisms, liability and insurance regimes and professional certification requirements. The score is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Dealing with construction permits (DB16-20 methodology),,,,,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Score-Dealing with construction permits (DB06-15 methodology),"The score for dealing with construction permits is the simple average of the scores for each of the component indicators: the procedures, time, cost to deal with construction permits, as well as the building quality control index that evaluate the quality of building regulations, the strength of quality control and safety mechanisms, liability and insurance regimes and professional certification requirements. The score is computed based on the methodology in the DB06-15 studies.",Ease of Doing Business ,,Dealing with construction permits (DB06-15 methodology),,,,,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Procedures (number),"The number of procedures records all interactions of the building company’s employees or any party acting on its behalf with external parties, including government agencies, notaries, the land registry, the cadastre, utility companies and public inspectors. Procedures that the company undergoes to connect the warehouse to water and sewerage are included. All procedures that are legally required and that are done in practice by a majority of companies  are counted, even if they may be avoided in exceptional cases.",Ease of Doing Business ,,Dealing with construction permits,,,Procedures (number),,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Score-Procedures (number),"The score for the number procedures benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Dealing with construction permits,,,Score-Procedures (number),,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Time (days),"The time captures the median duration that local experts indicate is necessary to complete a procedure in practice. It is calculated in calendar days. The time estimates of all procedures are added to calculate the total time required to complete each procedure, taking into account simultaneity of processes. It is assumed that the minimum time required for each procedure is one day, except for procedures that can be fully completed online, for which the time required is recorded as half a day. ",Ease of Doing Business ,,Dealing with construction permits,,,Time (days),,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Score-Time (days),"The score for time benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Dealing with construction permits,,,Score-Time (days),,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Cost (% of Warehouse value),"The cost records all official costs associated with completing the procedures to legally build a warehouse, including the costs associated with obtaining land use approvals and preconstruction design clearances; receiving inspections before, during and after construction; obtaining utility connections; and registering the warehouse at the property registry. It is calculated as a percentage of the warehouse value. Nonrecurring taxes required for the completion of the warehouse project are also recorded. Sales taxes (such as value added tax) or capital gains taxes are not recorded. Nor are deposits that must be paid up front and are later refunded. ",Ease of Doing Business ,,Dealing with construction permits,,,Cost (% of Warehouse value),,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Score-Cost (% of Warehouse value),"The score for cost benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Dealing with construction permits,,,Score-Cost (% of Warehouse value),,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Building quality control index (0-15) (DB16-20 methodology),"The building quality control index is the sum of the following six indices: quality of building regulations, quality control before construction, quality control during construction, quality control after construction, liability and insurance regimes and professional certifications. The component indicator is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Dealing with construction permits,,,Building quality control index (0-15),,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Score-Building quality control index (0-15) (DB16-20 methodology),"The score for the building quality control index benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Dealing with construction permits,,,Building quality control index (0-15),,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Quality of building regulations index (0-2) (DB16-20 methodology),The quality of building regulations index evaluates the accessibility and transparency of building regulations. It has two components: (i) whether building regulations are easily accessible; and (ii) whether the requirements for obtaining a building permit are clearly specified. The index is computed based on the methodology in the DB16-20 studies.,Ease of Doing Business ,,Dealing with construction permits,,,Building quality control index (0-15),Quality of building regulations index,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Quality control before construction index (0-1) (DB16-20 methodology),"The quality control before construction index evaluates quality control in the review of the building plans. The index measures whether by law, a licensed architect or engineer is part of the committee or team that reviews and approves building permit applications and whether that person has the authority to refuse an application if the plans are not in conformity with regulations. The index is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Dealing with construction permits,,,Building quality control index (0-15),Quality control before construction index,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Quality control during construction index (0-3) (DB16-20 methodology),The quality control during construction index evaluates quality control during the construction process. It has two components: (i) whether inspections are mandated by law during the construction process; (ii) whether inspections during construction are implemented in practice. The index is computed based on the methodology in the DB16-20 studies.,Ease of Doing Business ,,Dealing with construction permits,,,Building quality control index (0-15),Quality control during construction index,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Quality control after construction index (0-3) (DB16-20 methodology),The quality control after construction index evaluates quality control after the construction process. It has two components: (i) whether a final inspection is mandated by law to verify that the building was built in accordance with the approved plans and existing building regulations; and (ii) whether the final inspection is implemented in practice. The index is computed based on the methodology in the DB16-20 studies.,Ease of Doing Business ,,Dealing with construction permits,,,Building quality control index (0-15),Quality control after construction index,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Liability and insurance regimes index (0-2) (DB16-20 methodology),The liability and insurance regimes index evaluates the stringency of latent defect liability and insurance regimes. It has two components: (i) whether any parties involved in the construction process are held legally liable for latent defects such as structural flaws or problems in the building once it is in use; (ii) whether any party involved in the construction process is legally required to obtain a latent defect liability or decennial (10 years) liability insurance policy to cover possible structural flaws or problems in the building once it is in use. The index is computed based on the methodology in the DB16-20 studies.,Ease of Doing Business ,,Dealing with construction permits,,,Building quality control index (0-15),Liability and insurance regimes index,Score,,,,,,,,,,,,,,,
Dealing with construction permits,Professional certifications index (0-4) (DB16-20 methodology),The professional certifications index evaluates professional certiﬁcation requirements. It has two components: (i) the qualification requirements of the professional responsible for verifying that the architectural plans or drawings are in compliance with the building regulations; and (ii) the qualification requirements of the professional who conducts the technical inspections during construction. The index is computed based on the methodology in the DB16-20 studies.,Ease of Doing Business ,,Dealing with construction permits,,,Building quality control index (0-15),Professional certifications index,Score,,,,,,,,,,,,,,,
Getting electricity,Rank-Getting electricity,The ranking of economies on the ease of getting electricity is determined by sorting their scores for getting electricity. ,Ease of Doing Business ,,Getting electricity,,,,,Rank,,,,,,,,,,,,,,,
Getting electricity,Score-Getting electricity (DB16-20 methodology),"The score for getting electricity is the simple average of the scores for each of the component indicators: the procedures, time, cost for a business to obtain a permanent electricity connection and supply for a standardized warehouse, as well as the reliability of supply and transparency of tariffs index. The score is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity (DB16-20 methodology),,,,,Score,,,,,,,,,,,,,,,
Getting electricity,Score-Getting electricity (DB10-15 methodology),"The score for getting electricity is the simple average of the scores for each of the component indicators: the procedures, time, cost for a business to obtain a permanent electricity connection and supply for a standardized warehouse, as well as the reliability of supply and transparency of tariffs index. The score is computed based on the methodology in the DB10-15 studies.",Ease of Doing Business ,,Getting electricity (DB10-15 methodology),,,,,Score,,,,,,,,,,,,,,,
Getting electricity,Procedures (number),"The number of procedures records all the procedures required in practice for businesses to obtain a new electrical connection. A procedure is defined as any interaction of the company’s employees or its main electrician or electrical engineer with external parties, such as the electricity distribution utility, electricity supply utilities, government agencies, electrical contractors and firms. Interactions between company employees and steps related to the internal electrical wiring, such as the design and execution of the internal electrical installation plans, are not counted as procedures. However, internal wiring inspections and certifications that are prerequisites to obtain a new connection are counted as procedures. ",Ease of Doing Business ,,Getting electricity,,,Procedures (number),,Score,,,,,,,,,,,,,,,
Getting electricity,Score-Procedures (number),"The score for the number of procedures benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Getting electricity,,,Score-Procedures (number),,Score,,,,,,,,,,,,,,,
Getting electricity,Time (days),"The time captures the median duration that the electricity utility and private sector electricity experts indicate is necessary in practice to complete all procedures required to obtain a new electricity connection with minimum follow-up and no extra payments. It is calculated in calendar days. The time estimates of all procedures are added to calculate the total time required to obtain a new electrical connection, taking into account simultaneity of processes. It is assumed that the minimum time required for each procedure is one day, except for procedures that can be fully completed online, for which the time required is recorded as half a day.  ",Ease of Doing Business ,,Getting electricity,,,Time (days),,Score,,,,,,,,,,,,,,,
Getting electricity,Score-Time (days),"The score for time benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Getting electricity,,,Score-Time (days),,Score,,,,,,,,,,,,,,,
Getting electricity,Cost (% of income per capita),"The cost is the total median cost associated with completing the procedures to connect a warehouse to electricity. It is calculated as a percentage of income per capita. All the fees and costs associated with completing the procedures to connect a warehouse to electricity are recorded, including those related to obtaining clearances from government agencies, applying for the connection, receiving inspections of both the site and the internal wiring, purchasing material, getting the actual connection works and paying a security deposit. Bribes are not included.",Ease of Doing Business ,,Getting electricity,,,Cost (% of income per capita),,Score,,,,,,,,,,,,,,,
Getting electricity,Score-Cost (% of income per capita),"The score for cost benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Getting electricity,,,Score-Cost (% of income per capita),,Score,,,,,,,,,,,,,,,
Getting electricity,Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology),"The reliability of supply and transparency of tariff index is calculated on the basis of the following six components: (i) duration and frequency of power outages, (ii) tools to monitor power outages, (iii) tools to restore power supply, (iv) regulatory monitoring of utilities’ performance, (v) financial deterrents aimed at limiting outages, and (vi) transparency and accessibility of tariffs. An economy is eligible to obtain a score on the reliability of supply and transparency of tariffs index only if (i) the utility collects data on all types of outages (average total duration of outages per customer and the average number of outages per customer), including planned and unplanned outages, as well as load shedding, with the minimum outage time of not more than 5 minutes; and (ii) the SAIDI value is below a threshold of 100 hours and the SAIFI value is under 100 outages. The component indicator is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity,,,Reliability of supply and transparency of tariff index,,Score,,,,,,,,,,,,,,,
Getting electricity,Score-Reliability of supply and transparency of tariff index (0-8) (DB16-20 methodology),"The score for the reliability of supply and transparency of tariff index benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity,,,Score-Reliability of supply and transparency of tariff index (0-8) ,,Score,,,,,,,,,,,,,,,
Getting electricity,Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),"The total duration and frequency of outages per customer a year index evaluates the quality of the power supply. If SAIDI and SAIFI are 12 (equivalent to an outage of one hour each month) or below, a score of 1 is assigned. If SAIDI and SAIFI are 4 (equivalent to an outage of one hour each quarter) or below, 1 additional point is assigned. If SAIDI and SAIFI are 1 (equivalent to an outage of one hour per year) or below, 1 more point is assigned. The index is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity,,,Total duration and frequency of outages per customer a year (0-3) ,,Score,,,,,,,,,,,,,,,
Getting electricity,Mechanisms for monitoring outages (0-1) (DB16-20 methodology),"The mechanisms for monitoring outages index evaluates what tools are used by the distribution utility to monitor power outages. A score of 1 is assigned if the utility uses automated tools, such as an Outage/Incident Management System (OMS/IMS) or Supervisory Control and Data Acquisition (SCADA) system. The index is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity,,,Mechanisms for monitoring outages (0-1) ,,Score,,,,,,,,,,,,,,,
Getting electricity,Mechanisms for restoring service (0-1) (DB16-20 methodology),"The mechanisms for restoring service index evaluates what tools are used by the distribution utility to restore power supply. A score of 1 is assigned if the utility uses automated tools, such as an OMS/IMS or SCADA system. The index is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity,,,Mechanisms for restoring service (0-1),,Score,,,,,,,,,,,,,,,
Getting electricity,Regulatory monitoring (0-1) (DB16-20 methodology),"The regulatory monitoring index evaluates whether a regulator—that is, an entity separate from the utility—monitors the utility’s performance on reliability of supply. A score of 1 is assigned if the regulator performs periodic or real-time reviews. The index is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity,,,Regulatory monitoring (0-1) ,,Score,,,,,,,,,,,,,,,
Getting electricity,Financial deterrents aimed at limiting outages (0-1) (DB16-20 methodology),"Th financial deterrents index evaluates whether financial deterrents exist to limit outages. A score of 1 is assigned if the utility compensates customers when outages exceed a certain cap, if the utility is fined by the regulator when outages exceed a certain cap or if both these conditions are met. The index is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity,,,Financial deterrents aimed at limiting outages (0-1),,Score,,,,,,,,,,,,,,,
Getting electricity,Communication of tariffs and tariff changes (0-1) (DB16-20 methodology),"The communication of tariffs and tariff changes index evaluates whether electricity tariffs are transparent. A score of 1 is assigned if effective tariffs are available online and customers are notified of a change in tariff a full billing cycle (that is, one month) ahead of time. The index is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity,,,Communication of tariffs and tariff changes (0-1) ,,Score,,,,,,,,,,,,,,,
Getting electricity,System average interruption duration index (SAIDI) (DB16-20 methodology),The system average interruption duration index is the average total duration of outages (in hours) experienced by a customer in a year. The index is computed based on the methodology in the DB16-20 studies.,Ease of Doing Business ,,Getting electricity,,,System average interruption duration index (SAIDI),,Score,,,,,,,,,,,,,,,
Getting electricity,System average interruption frequency index (SAIFI) (DB16-20 methodology),The system average interruption frequency index (SAIFI) is the average number of service interruptions experienced by a customer in a year. The index is computed based on the methodology in the DB16-20 studies.,Ease of Doing Business ,,Getting electricity,,,System average interruption frequency index (SAIFI),,Score,,,,,,,,,,,,,,,
Getting electricity,Minimum outage time (in minutes)  (DB16-20 methodology),"The minimum outage time is the minimum time, in minutes, considered for the calculation of the SAIDI and SAIFI indices. If the minimum outage time exceeds 5 minutes, an economy is not eligible to obtain a score on the Reliability of supply and transparency of tariff index component. The index is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity,,,Minimum outage time (in minutes),,Score,,,,,,,,,,,,,,,
Getting electricity,Price of electricity (US cents per kWh) (DB16-20 methodology),"The price of electricity is measured in U.S. cents per kWh. A monthly electricity consumption is assumed, for which a bill is then computed for a warehouse based in the largest business city of the economy for the month of March. The bill is then expressed back as a unit of kWh. The index is computed based on the methodology in the DB16-20 studies.",Ease of Doing Business ,,Getting electricity,,,Price of electricity (US cents per kWh),,Score,,,,,,,,,,,,,,,
Registering property,Rank-Registering property,The ranking of economies on the ease of registering property is determined by sorting their scores for registering property. ,Ease of Doing Business ,,Registering property,,,,,Rank,,,,,,,,,,,,,,,
Registering property,Score-Registering property (DB17-20 methodology),"The score for registering property is the simple average of the scores for each of the component indicators: the procedures, time, cost to transfer property between two local companies, as well as the quality of land administration index that evaluates the reliability of infrastructure, transparency of information, geographic coverage, land dispute resolution and equal access to property rights. The score is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Registering property (DB17-20 methodology),,,,,Score,,,,,,,,,,,,,,,
Registering property,Score-Registering property (DB05-15 methodology),"The score for registering property is the simple average of the scores for each of the component indicators: the procedures, time, cost to transfer property between two local companies, as well as the quality of land administration index that evaluates the reliability of infrastructure, transparency of information, geographic coverage, land dispute resolution and equal access to property rights. The score is computed based on the methodology in the DB05-15 studies.",Ease of Doing Business ,,Registering property (DB05-15 methodology),,,,,Score,,,,,,,,,,,,,,,
Registering property,Procedures (number),"The number of procedures records all the procedures necessary for a business (the buyer) to purchase a property from another business (the seller) and to transfer the property title to the buyer’s name so that the buyer can use the property for expanding its business, use the property as collateral in taking new loans or, if necessary, sell the property to another business. A procedure is defined as any interaction that is legally or in practice required between the buyer, the seller or their agents (if required) and external parties, including government agencies, inspectors, notaries and lawyers.",Ease of Doing Business ,,Registering property,,,Procedures (number),,Score,,,,,,,,,,,,,,,
Registering property,Score-Procedures (number),"The score for the number of procedures benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Registering property,,,Score-Procedures (number),,Score,,,,,,,,,,,,,,,
Registering property,Time (days),"The time captures the median duration that property lawyers, notaries or registry officials indicate is necessary to complete a procedure. It is calculated in calendar days. The time estimates of all procedures are added to calculate the total time required to obtain transfer the property title, taking into account simultaneity of processes. It is assumed that the minimum time required for each procedure is one day, except for proce­dures that can be fully completed online, for which the time required is recorded as half a day.",Ease of Doing Business ,,Registering property,,,Time (days),,Score,,,,,,,,,,,,,,,
Registering property,Score-Time (days),"The score for time benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Registering property,,,Score-Time (days),,Score,,,,,,,,,,,,,,,
Registering property,Cost (% of property value),"The cost is the total of official costs associated with completing the procedures to transfer the property, expressed as a percentage of the property value, assumed to be equiva­lent to 50 times income per capita. It is calculted as a percentage of the property value. Only official costs required by law are recorded, including fees, transfer taxes, stamp duties and any other payment to the property registry, notaries, public agencies or lawyers. Other taxes, such as capital gains tax or value added tax, are excluded from the cost measure. Both costs borne by the buyer and the seller are included. If cost estimates differ among sources, the median reported value is used.",Ease of Doing Business ,,Registering property,,,Cost (% of property value),,Score,,,,,,,,,,,,,,,
Registering property,Score-Cost (% of property value),"The score for cost benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.",Ease of Doing Business ,,Registering property,,,Score-Cost (% of property value),,Score,,,,,,,,,,,,,,,
Registering property,Quality of land administration index (0-30) (DB17-20 methodology),"The quality of land administration index is the sum of the reliability of infrastructure, transparency of information, geographic coverage, land dispute resolution and equal access to property rights. The score is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Registering property,,,Quality of land administration index (0-30) ,,Score,,,,,,,,,,,,,,,
Registering property,Score-Quality of land administration index (0-30) (DB17-20 methodology),"The score for the quality of land administration index benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Registering property,,,Score-Quality of land administration index (0-30) ,,Score,,,,,,,,,,,,,,,
Registering property,Reliability of infrastructure index (0-8) (DB17-20 methodology),"The reliability of infrastructure index assesses whether the land registry and cadaster have adequate infrastructure to guarantee high standards and reduce the risk of errors. It has six components: (i) how land titles are kept at the registry of the largest business city of the economy; (ii) whether there is an electronic database for checking for encumbrances; (iii) how maps of land plots are kept at the mapping agency of the largest business city of the economy; (iv) whether there is a geographic information system—an electronic database for recording boundaries, checking plans and providing cadastral information; (v) how the land ownership registry and mapping agency are linked; and (vi) how immovable property is identified. The index is computed based on the methodology in the DB17-20 studies.",Ease of Doing Business ,,Registering property,,,Reliability of infrastructure index (0-8) ,,Score,,,,,,,,,,,,,,,
